GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
metrics-gelf,org.graylog.metrics,GelfReporter,4,639,3,23,2,117,3,21,0,11
metrics-gelf,org.graylog.metrics,GelfReporter.Builder,112,142,2,2,39,39,21,3,19,3
